mu_B,pressure,energy_density
968.10000,2.33729,116.85578
968.20000,2.34961,117.06124
968.30000,2.36195,117.26641
968.40000,2.37432,117.47116
968.50000,2.38671,117.67557
968.60000,2.39911,117.87977
968.70000,2.41154,118.08354
968.80000,2.42399,118.28698
968.90000,2.43646,118.48983
969.00000,2.44895,118.69248
969.10000,2.46146,118.89461
969.20000,2.47400,119.09624
969.30000,2.48655,119.29775
969.40000,2.49913,119.49906
969.50000,2.51172,119.69998
969.60000,2.52434,119.90080
969.70000,2.53697,120.10120
969.80000,2.54963,120.30133
969.90000,2.56231,120.50117
970.00000,2.57501,120.70066
970.10000,2.58773,120.89962
970.20000,2.60047,121.09801
970.30000,2.61323,121.29617
970.40000,2.62601,121.49435
970.50000,2.63881,121.69237
970.60000,2.65163,121.89068
970.70000,2.66447,122.08915
970.80000,2.67733,122.28814
970.90000,2.69022,122.48736
971.00000,2.70312,122.68655
971.10000,2.71604,122.88565
971.20000,2.72899,123.08452
971.30000,2.74195,123.28324
971.40000,2.75494,123.48218
971.50000,2.76794,123.68094
971.60000,2.78097,123.87945
971.70000,2.79402,124.07785
971.80000,2.80708,124.27639
971.90000,2.82017,124.47464
972.00000,2.83328,124.67273
972.10000,2.84641,124.87069
972.20000,2.85956,125.06832
972.30000,2.87273,125.26582
972.40000,2.88591,125.46342
972.50000,2.89912,125.66079
972.60000,2.91235,125.85773
972.70000,2.92560,126.05443
972.80000,2.93887,126.25115
972.90000,2.95216,126.44751
973.00000,2.96547,126.64373
973.10000,2.97881,126.83984
973.20000,2.99216,127.03579
973.30000,3.00553,127.23158
973.40000,3.01892,127.42724
973.50000,3.03233,127.62278
973.60000,3.04576,127.81794
973.70000,3.05921,128.01293
973.80000,3.07268,128.20768
973.90000,3.08617,128.40213
974.00000,3.09969,128.59628
974.10000,3.11322,128.79032
974.20000,3.12677,128.98420
974.30000,3.14034,129.17767
974.40000,3.15393,129.37101
974.50000,3.16754,129.56424
974.60000,3.18117,129.75720
974.70000,3.19482,129.95008
974.80000,3.20849,130.14261
974.90000,3.22218,130.33510
975.00000,3.23589,130.52730
975.10000,3.24962,130.71933
975.20000,3.26337,130.91116
975.30000,3.27714,131.10278
975.40000,3.29093,131.29409
975.50000,3.30473,131.48517
975.60000,3.31856,131.67595
975.70000,3.33241,131.86645
975.80000,3.34627,132.05680
975.90000,3.36016,132.24704
976.00000,3.37407,132.43705
976.10000,3.38799,132.62682
976.20000,3.40193,132.81639
976.30000,3.41590,133.00595
976.40000,3.42988,133.19501
976.50000,3.44388,133.38396
976.60000,3.45791,133.57261
976.70000,3.47195,133.76104
976.80000,3.48601,133.94937
976.90000,3.50009,134.13744
977.00000,3.51419,134.32532
977.10000,3.52830,134.51295
977.20000,3.54244,134.70028
977.30000,3.55660,134.88747
977.40000,3.57077,135.07437
977.50000,3.58497,135.26126
977.60000,3.59918,135.44787
977.70000,3.61342,135.63433
977.80000,3.62767,135.82049
977.90000,3.64194,136.00639
978.00000,3.65623,136.19206
978.10000,3.67054,136.37757
978.20000,3.68487,136.56275
978.30000,3.69921,136.74772
978.40000,3.71358,136.93264
978.50000,3.72796,137.11742
978.60000,3.74237,137.30185
978.70000,3.75679,137.48610
978.80000,3.77123,137.67007
978.90000,3.78569,137.85382
979.00000,3.80017,138.03742
979.10000,3.81467,138.22092
979.20000,3.82918,138.40412
979.30000,3.84372,138.58711
979.40000,3.85827,138.76991
979.50000,3.87284,138.95242
979.60000,3.88743,139.13464
979.70000,3.90204,139.31677
979.80000,3.91667,139.49869
979.90000,3.93132,139.68040
980.00000,3.94598,139.86189
980.10000,3.96067,140.04331
980.20000,3.97537,140.22443
980.30000,3.99009,140.40534
980.40000,4.00483,140.58600
980.50000,4.01959,140.76646
980.60000,4.03436,140.94674
980.70000,4.04916,141.12690
980.80000,4.06397,141.30674
980.90000,4.07880,141.48645
981.00000,4.09365,141.66588
981.10000,4.10852,141.84524
981.20000,4.12340,142.02436
981.30000,4.13830,142.20322
981.40000,4.15323,142.38180
981.50000,4.16817,142.56022
981.60000,4.18313,142.73848
981.70000,4.19810,142.91646
981.80000,4.21310,143.09419
981.90000,4.22811,143.27191
982.00000,4.24314,143.44936
982.10000,4.25819,143.62669
982.20000,4.27326,143.80381
982.30000,4.28834,143.98061
982.40000,4.30345,144.15737
982.50000,4.31857,144.33385
982.60000,4.33371,144.51008
982.70000,4.34886,144.68601
982.80000,4.36404,144.86183
982.90000,4.37923,145.03750
983.00000,4.39444,145.21291
983.10000,4.40967,145.38811
983.20000,4.42492,145.56310
983.30000,4.44018,145.73804
983.40000,4.45546,145.91293
983.50000,4.47076,146.08750
983.60000,4.48608,146.26186
